"Date","Time","Text","Retweets","Replies","Potential Impressions","Link"
"2012 Apr 25 12:00:00 AM","1:20 PM","Like ""Shark Tank"" minus the schmaltz. Watch Open and Big Data developers pitch their projects and services.  4/26@7 pm, http://blog.cookcountygov.com/opencc/","0","1","2,749","http://twitter.com/ToniPreckwinkle/status/195245877521158144"
"2012 Apr 25 12:00:00 AM","2:45 PM","@shua123  ifinditChicago, Jake Porway/Data Dive, Marcello Benati (Big Data), Stuart Townsend pitching projects and services.","0","0","2,750","http://twitter.com/ToniPreckwinkle/status/195267203623432192"
"2012 Apr 25 12:00:00 AM","6:20 PM","Watch video from our 4/25 webinar. Featuring Greg Wass, Cook County CIO; John Cooke, Director of Capital Planning;... http://fb.me/W63oxNcx","1","0","12,709","http://twitter.com/ToniPreckwinkle/status/195321307485847553"
"2012 Apr 25 12:00:00 AM","6:56 PM","Watch data developers pitch projects & services live on your computer. ""Data Developers Showcase"" 4/26@7:00 pm, http://data.cookcountyil.gov","0","0","2,753","http://twitter.com/ToniPreckwinkle/status/195330496878743552"
"2012 Apr 25 12:00:00 AM","7:22 PM","Video from today's webinar, ""Changing the Code: Government Data and Digital Entrepreneurship"" is up at http://data.cookcountyil.gov","0","1","2,753","http://twitter.com/ToniPreckwinkle/status/195337121769324545"
"2012 Apr 25 12:00:00 AM","7:38 PM","Sheriff's Office & DEA co-sponsor Prescription Drug Take-back programs. Click http://blog.cookcountygov.com/2012/04/25/sheriffs-office-partners-with-d-e-a-for-national-drug-take-back-initiative/ for locations and details.","0","0","2,753","http://twitter.com/ToniPreckwinkle/status/195340977123233792"
"2012 Apr 25 12:00:00 AM","7:55 PM","Spend a summer as a Cook County Fellow. Click http://blog.cookcountygov.com/2012/04/18/cook-county-announces-summer-fellowship-program/ for information and to apply.","3","0","4,379","http://twitter.com/ToniPreckwinkle/status/195345309751181313"
"2012 Apr 26 12:00:00 AM","7:05 AM","2011 Cook County Foreclosures Map, with Flyout Detail https://datacatalog.cookcountyil.gov/Property-Taxation/2011-Cook-County-Foreclosures-Map-with-Flyout-Deta/4hkp-maq7 Adding new & updated datasets throughout the day.","2","0","3,614","http://twitter.com/ToniPreckwinkle/status/195513931513597952"
"2012 Apr 26 12:00:00 AM","7:07 AM","Cook County Recorder of Deeds-Map of Mortgages 2011 Complete https://datacatalog.cookcountyil.gov/Property-Taxation/Cook-County-Recorder-of-Deeds-Mortgages-2011-Compl/7gk5-xk7q #opendata #bigdata","0","0","2,756","http://twitter.com/ToniPreckwinkle/status/195514433156554752"
"2012 Apr 26 12:00:00 AM","8:09 AM","New Dataset--Cook County Recorder of Deeds-Mortgages 2012 Ongoing https://datacatalog.cookcountyil.gov/Property-Taxation/Cook-County-Recorder-of-Deeds-Mortgages-2012-Ongoi/myuk-usmm #opendata #bigdata","2","0","17,614","http://twitter.com/ToniPreckwinkle/status/195530148026658816"
"2012 Apr 26 12:00:00 AM","8:41 AM","New Dataset--Cook County Recorder of Deeds-Foreclosures 2012 Ongoing https://datacatalog.cookcountyil.gov/Property-Taxation/Cook-County-Recorder-of-Deeds-Foreclosures-2012-On/9br9-dhca #opendata #bigdata","1","0","2,777","http://twitter.com/ToniPreckwinkle/status/195538187614035968"
"2012 Apr 26 12:00:00 AM","9:13 AM","New dataset--Cook County Recorder of Deeds-Quit Claim Deeds 2012 Ongoing https://datacatalog.cookcountyil.gov/Property-Taxation/Cook-County-Recorder-of-Deeds-Quit-Claim-Deeds-201/687c-wufc #opendata #bigdata","0","0","2,757","http://twitter.com/ToniPreckwinkle/status/195546152815431680"
"2012 Apr 26 12:00:00 AM","12:03 PM","Watch data developers pitch projects & services live on your computer. ""Data Developers Showcase"" 4/26@7:00 pm, http://data.cookcountyil.gov","0","0","2,759","http://twitter.com/ToniPreckwinkle/status/195588862251253760"
"2012 Apr 26 12:00:00 AM","12:07 PM","4/27@11:15 am --""Inside ChicagoMetroData"" a 60-minute tour of http://metrodatachicago.org & data goals of county, state and CMAP #opendata","0","0","2,759","http://twitter.com/ToniPreckwinkle/status/195589862315925504"
"2012 Apr 26 12:00:00 AM","12:25 PM","Cool Summer Job=Cook County Fellow. Click http://blog.cookcountygov.com/2012/04/18/cook-county-announces-summer-fellowship-program/ for info & to apply","1","0","3,893","http://twitter.com/ToniPreckwinkle/status/195594377681317888"
"2012 Apr 26 12:00:00 AM","2:12 PM","Viewing instructions posted, stream starts soon. ""Data Developers Showcase"" tonite@7pm, http://data.cookcountyil.gov #opendata #bigdataweek","1","0","10,034","http://twitter.com/ToniPreckwinkle/status/195621490924863489"
"2012 Apr 26 12:00:00 AM","2:14 PM","RT @rhodes_dawn: My latest on a bald eagle nesting pair laying and hatching eggs in a Cook County forest preserve. http://www.chicagotribune.com/news/local/ct-met-bald-eagles-0425-20120425,0,5041549.story","0","0","2,760","http://twitter.com/ToniPreckwinkle/status/195621907016593410"
